ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-129566,A,Araceae,,Monstera,,"acacoyaguensis",,"","Matuda",Accepted,,H,WCSP,129566,163908-2,"Madroño","10: 48","","1949",
kew-129567,A,Araceae,,Monstera,,"acreana",,"","K.Krause",Synonym,,H,WCSP,129567,163909-2,"Notizbl. Königl. Bot. Gart. Berlin","6: 114","","1914",kew-129592
kew-129568,A,Araceae,,Monstera,,"acuminata",,"","K.Koch",Accepted,,H,WCSP,129568,87463-1,"Index Seminum (B)","1855(App.): 4","","1855",
kew-129569,A,Araceae,,Monstera,,"adansonii",,"","Schott",Accepted,,H,WCSP,129569,87464-1,"Wiener Z. Kunst","4: 1028","","1830",
kew-129570,A,Araceae,,Monstera,,"adansonii",var.,"adansonii","",Accepted,,L,WCSP,129570,,"Unknown","","","",
kew-129571,A,Araceae,,Monstera,,"adansonii",var.,"klotzschiana","(Schott) Madison",Accepted,,L,WCSP,129571,,"Contr. Gray Herb.","207: 40","","1977",
kew-129572,A,Araceae,,Monstera,,"adansonii",var.,"laniata","(Schott) Madison",Accepted,,L,WCSP,129572,,"Contr. Gray Herb.","207: 38","","1977",
tro-50287207,A,Araceae,,Monstera,,"alticola",,"","Croat",Unresolved,,L,TRO,50287207,,"","","","",
kew-254634,A,Araceae,,Monstera,,"amargalensis",,"","Croat & M.M.Mora",Accepted,,H,WCSP,254634,60436411-2,"Aroideana","27: 113","","2004",
kew-129573,A,Araceae,,Monstera,,"amomifolia",,"","Poepp.",Synonym,,H,WCSP,129573,87465-1,"Nov. Gen. Sp. Pl.","3: 88","","1845",kew-197512
tro-2106884,A,Araceae,,Monstera,,"atlanticum",,"","",Unresolved,,L,TRO,2106884,,"","","","",
kew-344419,A,Araceae,,Monstera,,"aureopinnata",,"","Croat",Accepted,,H,WCSP,344419,60441706-2,"Rodriguésia","56: 92","","2005",
tro-2106894,A,Araceae,,Monstera,,"aureum",,"","Engl.",Unresolved,,L,TRO,2106894,,"","","","",
kew-344420,A,Araceae,,Monstera,,"barrieri",,"","Croat, Moonen & Poncy",Accepted,,H,WCSP,344420,60441578-2,"Rodriguésia","56: 61","","2005",
kew-129574,A,Araceae,,Monstera,,"belizensis",,"","Lundell",Synonym,,H,WCSP,129574,163913-2,"Lloydia","2: 76","","1939",kew-129568
